title,description,speaker,day,startTime,endTime,room,zoomUrl
Panel: target scalable paradigms,Asperiores conturbo synagoga laudantium ipsa suppellex aeger audeo praesentium degenero hic.,Maureen Schmitt,Day 2 - Nov 9,8:00 AM,9:00 AM,Room 302,
Keynote: visualize enterprise content,Tamisium tutis comparo curvo tonsor crustulum totus patrocinor xiphias ascisco ut confido adimpleo conatus esse cupiditas.,Halle Larkin,Day 1 - Nov 8,11:00 AM,1:00 PM,Room 502,https://zoom.us/j/9223394700
Networking: harness virtual architectures,Coma quas accusantium argentum despecto urbs tracto creo vesica coerceo quo talus.,Shaniya Streich,Day 3 - Nov 10,11:00 AM,12:00 PM,Room 402,
Fireside Chat: disintermediate plug-and-play architectures,Quis assumenda complectus quibusdam ulciscor credo ancilla adnuo summopere deficio.,,Day 2 - Nov 9,10:00 AM,12:00 PM,Room 401,
Networking: target intuitive smart contracts,Vito capillus agnosco abduco solvo subseco vinculum ocer.,Sonja D'Amore,Day 2 - Nov 9,2:00 PM,4:00 PM,Room 301,
Seminar: implement sustainable e-commerce,Acceptus cultura defessus cresco arcus cura conservo varietas traho officia beatae odit admitto.,,Day 1 - Nov 8,1:00 PM,2:00 PM,Room 501,
Reception: simplify synergistic methodologies,Comitatus textus viscus subseco uberrime magnam asporto incidunt patrocinor appello desparatus.,Valerie Watsica,Day 2 - Nov 9,10:00 AM,11:00 AM,Room 101,https://zoom.us/j/3135610983
Seminar: mesh 24/7 smart contracts,Peccatus adiuvo vesper voluptate aer cattus cultellus tollo viridis amaritudo cauda accedo cupressus cimentarius depono.,,Day 2 - Nov 9,10:00 AM,12:00 PM,Room 101,https://zoom.us/j/6080720884
Seminar: optimize interactive smart contracts,Vilitas patrocinor capitulus aegre alii vulpes usitas voluptates acies somnus tactus terra curso antiquus desino.,,Day 3 - Nov 10,2:00 PM,3:00 PM,Room 402,
Keynote: exploit efficient interfaces,Amiculum condico corporis ceno tersus attero quam vindico exercitationem utrum veritas ait aperte.,April Klocko,Day 3 - Nov 10,3:00 PM,5:00 PM,Room 402,
